,titulo,descricao_do_recurso,tipo_de_recurso
0, Protocolo: experimentos com água - experiência 2, Demonstrar como ocorre o processo de ebulição, Experimento prático
1, Respostas curtas, Aprender como dar respostas curtas em inglês, Software Educacional
2, Incentivo à pesquisa: parte 2 [Como fazer? A escola], Duração: 18 min <VIRGULA> 32 s, Vídeo
3, Filogenia, A animação apresenta conceitos de filogenia, Animação/simulação
4, Menos 1 minuto [Orto e grafia], Duração: 1 min <VIRGULA> 47 s, Vídeo
5, Vamos rever as tabelas de multiplicar, Conhecimento de multiplicação, Animação/simulação
6, Construindo curvas: Cissoide de Dioclés, Noções de construção geométrica, Outros
7, Uma história de deuses, Aprender sobre a mitologia grega, Vídeo
8, Como funciona uma autoclave: parte 2: vídeo, Demonstrar a utilização de uma autoclave, Vídeo
9, Coordenadas, Animação de batalha naval com um único alvo, Animação/simulação
10, Sólidos convexos, Apresentar e demonstrar o Teorema de Euler, Áudio
11, Vocação Química - Entrevista Eloisa Mano, Estimular a vocação para a Química, Vídeo
12, TV Escola – Sala de Professor – Programa Neste chão<VIRGULA> tudo dá. – Parte 04, Analisar tabela de Estrutura Fundiária, Vídeo
13, Aí tem química! - Química do Carbono - Química Orgânica, Introduzir o estudo da Química Orgânica, Vídeo
14, TV Escola – Sala de Professor – Programa Os Quartetos – Parte 05, Analisar o contexto histórico - tópicos, Vídeo
15, Lasers, Analisar como um laser funciona, Animação/simulação
16, Tempo e infinito: parte 2 [Arte e matemática], Duração: 2 min <VIRGULA> 40 s, Vídeo
17, Essa gente brasileira - parte I, Duração: 8 minutos, Vídeo
18, Almanaque sonoro de química: Alimentos : Fontes de substâncias essenciais - Parte 1, Despertar o interesse pelo estudo da química, Áudio
19, Espelho Plano, Noções básicas de reflexão da luz, Animação/simulação
20, Simulação de fluxo de tráfego, Conceitos elementares de cinemática, Animação/simulação
21, Vozes da cidade - Orelhas, Apresentar a catacrese, Animação/simulação
22, O Número de Ouro, Estudar o Número de Ouro, Experimento prático
23, Hidroponia – Conheça Melhor Esta Técnica Milenar, Duração: 00:02:26, Áudio
