,titulo,descricao_do_recurso,tipo_de_recurso
0, “Hora do Debate”<VIRGULA> Campanhas de prevenção contra DSTs: Linguagem em alerta - “A língua<VIRGULA> a ciência e a produção de efeitos de verdade” - bloco 1, Os conteúdos desenvolvidos neste recurso estão relacionados com o conjunto dos assuntos abordados nas atividades do site educacional correspondentes ao episódio 1 - “A língua <VIRGULA> a ciência e a produção de efeitos de verdade” do programa de áudio “Hora do Debate” <VIRGULA> cuja relação aparece a seguir <VIRGULA> razão pela qual recomenda-se trabalhar com os alunos também esses softwares educacionais. 1-Ciência <VIRGULA> mídia e sociedade (escolha léxical <VIRGULA> temporalidade) 2-Lendo textos de Divulgação Científica (aspas <VIRGULA> expressões que introduzem reformulações <VIRGULA> como “ou seja” e citações como “conforme diz X <VIRGULA> analogias e metáforas) 3-Interpretando textos polêmicos (negação <VIRGULA> inversão <VIRGULA> topicalização) 4-Tabu e eufemismos na linguagem (elipse <VIRGULA> léxico <VIRGULA> eufemismos) 5-Condições de produção e interpretação de texto (paráfrases e versões de um tema em diferentes momentos históricos) 6-Modos de dizer e seus efeitos de verdade (modos verbais <VIRGULA> advérbios de modo <VIRGULA> orações impessoais e passivas <VIRGULA> verbos de opinião e reforçadores como “é isso mesmo”), Áudio
1, Conhecendo a história do Acre, Apresenta episódio do Programa Escola Brasil em que é abordada a história do Estado do Acre. O historiador entrevistado <VIRGULA> Marcos Vinícius Neves <VIRGULA> explica como o Acre deixou de fazer parte da Bolívia e tornou-se parte do território brasileiro. Apresenta-se a banda acreana \Los Porongas\. Em outro momento <VIRGULA> é explicado os procedimentos do exame supletivo. Durante uma jornada no sul do Pará <VIRGULA> o município de Pirraça é vistado e aborda-se sua cultura <VIRGULA> população e sistema educacional. A paleontologia é abordada e explicada <VIRGULA> bem como o trabalho dos paleontólogos. É citado o Dia Mundial de Conscientização Contra a Violência aos Idosos, Áudio
2, Turminha da vida, Colaborou Adriane Lopes Farias <VIRGULA> aluna do 1º ano do Ensino Fundamental do Colégio CPD (SC). A produção do desenho animado foi coordenada por Maria Taís de Melo <VIRGULA> com consultoria de Cassiano Zeferino de Carvalho Neto <VIRGULA> Jorge Luiz Barbosa <VIRGULA> Tadeu Lemos <VIRGULA> Marli Estela Souza e Maria Taís de Melo. A produção é do Drachinski Estúdio e de Eduardo Drachinski. Roteiro <VIRGULA> direção <VIRGULA> animação e edição ficaram a cargo de Jeremias Drachinski. Produção <VIRGULA> criação de personagens e cenografia são de Marizete Drachinski <VIRGULA> arte-final de Bruno Marcos Pereira <VIRGULA> animação e digitalização de Flávio Santos. O desenho foi uma realização da AAMHOR com patrocínio da Receita Federal, Vídeo
3, Getúlio Vargas [Construtores do Brasil], Apresenta vídeo produzido pela TV Câmara sobre a vida de Getúlio Vargas. Vargas se tornou chefe do governo provisório depois da deposição do então presidente do Brasil <VIRGULA> Washington Luís <VIRGULA> durante a Revolução de 1930. Com a Constituição de 1934 foi novamente eleito como presidente durante 4 anos. A ditadura de Vargas <VIRGULA> conhecida como Estado Novo <VIRGULA> teve início depois que o governo divulgou um suposto plano dos comunistas para tomar o poder. O legado de Vargas foi marcado pela participação do Brasil na II Guerra <VIRGULA> pela legislação trabalhista e por ter criado as bases da industrialização do país, Vídeo
4, Física quântica - Parte I, Cleber Brasil e seu amigo ‘Bocão’ estão indignados com a presença de um ‘pirralho’ (Alexander) que está chamando a atenção das estudantes na escola <VIRGULA> quando chega o Professor Galileo Lattes (avatar do autor) e faz uma analogia da situação com o modelo atômico de Rutherford-Bohr. Avança com conceitos a respeito da Física Quântica <VIRGULA> propondo uma alternativa para o problema que incomoda os jovens. Na ‘Rádio Atrito’ (rádio que funciona na escola) o convidado ‘Alexander’ <VIRGULA> vai ser entrevistado a respeito do assunto da Física Quântica. O postulado de Planck <VIRGULA> a emissão de corpo negro e os ‘quanta’ de energia são abordados em diálogo com o Professor Galileo Lattes <VIRGULA> incluindo o modelo atômico de Rutherford-Bohr. Alexander ‘brilha’ <VIRGULA> recebe elogios de Galileo <VIRGULA> enquanto Cleber e Bocão têm uma ideia..., Áudio
5, Educando com o rio [Por dentro da escola], Apresenta episódio do programa Por Dentro da Escola. Este episódio mostra o projeto Educando com o rio <VIRGULA> uma iniciativa da Escola Estadual de Porto Camargo <VIRGULA> que fica no município de Icaraíma <VIRGULA> no Paraná. Por estar situada em uma das maiores e mais importantes unidades de conservação do Paraná e do Sul do Brasil <VIRGULA> o Parque Nacional de Ilha Grande <VIRGULA> a comunidade escolar percebeu a necessidade do envolvimento de forma séria e comprometida em diversas ações com relação à preservação e conservação da natureza <VIRGULA> dentre as quais <VIRGULA> aquelas que se referem ao aspecto educacional e que visam à questão socioambiental através de parcerias com diversos setores da comunidade, Vídeo
6, A física e o cotidiano: Óptica, A mídia Óptica três etapas inter-relacionadas: Luz e cores <VIRGULA> Sombras e Refração da luz. O primeiro episódio trata de luz e cores e a forma como estes são reproduzidos aos nossos olhos <VIRGULA> demonstrando o comportamento do nosso olho de acordo com as luzes. O aspecto histórico sobre os conceitos da formação visual <VIRGULA> de acordo com os raios de luz <VIRGULA> também são tratados. O segundo episódio <VIRGULA> “Sombras e reflexão” <VIRGULA> apresenta <VIRGULA> a partir de experiência com a formação de sombras com as mãos <VIRGULA> a relação desta com o cotidiano dos estudantes <VIRGULA> diferença entre sombra e penumbra <VIRGULA> e a forma como estas são formadas <VIRGULA> atentando para o eclipse solar <VIRGULA> bem como a reflexão da luz <VIRGULA> quando um raio encontra um obstáculo em seu caminho. No terceiro momento “Refração” <VIRGULA> a mídia parte de uma experiência prática do copo e da moeda <VIRGULA> em que o locutor sugere problematizações acerca da mudança de direção do raio <VIRGULA> bem como a diferença entre reflexão e refração, Vídeo
7, Recifes de Coral EUA-Perigo dos Tesouros Nacionais, A imagem mostra um dos recifes de coral da Flórida/Estados Unidos <VIRGULA> que atrai uma grande variedade de visitantes <VIRGULA> incluindo mergulhadores e pescadores recreativos. Nas últimas décadas <VIRGULA> muitos recifes de coral do mundo foram severamente danificados pelos processos naturais e pelo impacto de atividades humanas. As razões para o declínio catastrófico na saúde desses ecossistemas marinhos complexos são mal compreendidos <VIRGULA> e é crucial que sejam protegidos <VIRGULA> pois os mesmos contribuem com centenas de milhões de dólares anualmente para a indústria pesqueira dos Estados Unidos e ajudam a gerar bilhões de dólares por ano nos setores de turismo e indústria desse país, Imagem
8, A eletricidade nossa de cada dia, Cleber Brasil está consertando seu amplificador <VIRGULA> quando toma um choque. Enquanto isso O Professor Galileo Lattes (avatar do autor) está realizando um programa na Rádio Atrito <VIRGULA> emissora de rádio que funciona na escola <VIRGULA> e o assunto é a segurança no uso da eletricidade. Os riscos de um curto circuito e os perigos dos choques elétricos são abordados neste programa que culmina em uma fala de Albert Einstein <VIRGULA> de forma metafórica <VIRGULA> associando o curto circuito elétrico aos ‘curtos circuitos’ políticos <VIRGULA> científicos e sociais e como deles podem advir profundas transformações na História, Vídeo
9, Física quântica - Parte II, Cleber Brasil e seu amigo ‘Bocão’ estão indignados com a presença de um ‘pirralho’ (Alexander) que está chamando a atenção das estudantes na escola <VIRGULA> quando chega o Professor Galileo Lattes (avatar do autor) e faz uma analogia da situação com o modelo atômico de Rutherford-Bohr. Avança com conceitos a respeito da Física Quântica <VIRGULA> propondo uma alternativa para o problema que incomoda os jovens. Na ‘Rádio Atrito’ (rádio que funciona na escola) o convidado ‘Alexander’ <VIRGULA> vai ser entrevistado a respeito do assunto da Física Quântica. O postulado de Planck <VIRGULA> a emissão de corpo negro e os ‘quanta’ de energia são abordados em diálogo com o Professor Galileo Lattes <VIRGULA> incluindo o modelo atômico de Rutherford-Bohr. Alexander ‘brilha’ <VIRGULA> recebe elogios de Galileo <VIRGULA> enquanto Cleber e Bocão têm uma ideia..., Áudio
